Group,Species or closers taxonomic level,Conventional (prev.),Conventional (rel. abund.),Organic (prev.),Organic (rel. abund.),C. annuum (prev.),C. annuum (rel. abund.),C. baccatum (prev.),C. baccatum (rel. abund.),C. chinense (prev.),C. chinense (rel. abund.),Hybrid A (prev.),Hybrid A (rel. abund.),Hybrid B (prev.),Hybrid B (rel. abund.),Bola (prev.),Bola (rel. abund.),Cali. Wond. Red (prev.),Cali. Wond. Red (rel. abund.),Piquillo (prev.),Piquillo (rel. abund.),Serrano (prev.),Serrano (rel. abund.),Blank (prev.),Blank (rel. abund.),"Simonin et al. (2020, prev.)","Simonin et al. (2020, rel. abund.)"
Bacteria,Candidatus_Adlerbacteria_sp381,NA,NA,NA,NA,NA,NA,25.00%,0.02%,NA,NA,NA,NA,NA,NA,27.27%,0.03%,NA,NA,36.36%,0.25%,NA,NA,NA,NA,NA,NA
Bacteria,Candidatus_Azambacteria_sp382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.00%,0.18%,NA,NA
Bacteria,Candidatus_Entotheonella_sp269,28.57%,0.06%,29.79%,0.07%,28.89%,0.07%,33.33%,0.06%,33.33%,0.06%,NA,NA,30.00%,0.09%,27.27%,0.08%,36.36%,0.08%,27.27%,0.05%,25.00%,0.05%,50.00%,0.11%,NA,NA
Bacteria,Candidatus_Kaiserbacteria_sp385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.00%,0.07%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Candidatus_Magasanikbacteria_sp,NA,NA,25.53%,0.06%,NA,NA,25.00%,0.03%,NA,NA,NA,NA,30.00%,0.03%,27.27%,0.10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Candidatus_Nomurabacteria_sp389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.02%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Candidatus_Terrybacteria_sp,NA,NA,NA,NA,NA,NA,NA,NA,25.00%,0.03%,NA,NA,NA,NA,NA,NA,NA,NA,36.36%,0.08%,25.00%,0.03%,66.67%,0.12%,NA,NA
Bacteria,Candidatus_Uhrbacteria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.03%,NA,NA,27.27%,0.03%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Candidatus_Uhrbacteria_sp376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.04%,27.27%,0.05%,27.27%,0.04%,NA,NA,NA,NA,NA,NA
Bacteria,Candidatus_Yanofskybacteria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.03%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Candidatus_Zambryskibacteria_sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33%,0.06%,83.33%,0.29%,NA,NA
Bacteria,Cellvibrio_sp,38.78%,0.41%,27.66%,0.07%,26.67%,0.25%,41.67%,0.24%,58.33%,0.60%,NA,NA,30.00%,0.03%,27.27%,0.07%,27.27%,0.49%,36.36%,0.24%,NA,NA,50.00%,0.07%,35.00%,0.25%
Bacteria,Chryseolinea_sp,34.69%,0.15%,31.91%,0.12%,33.33%,0.13%,NA,NA,41.67%,0.14%,27.27%,0.09%,30.00%,0.10%,36.36%,0.14%,27.27%,0.09%,NA,NA,50.00%,0.17%,66.67%,0.34%,NA,NA
Bacteria,Chthoniobacter_sp620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.09%,NA,NA,NA,NA,NA,NA
Bacteria,Chthoniobacter_sp621,NA,NA,NA,NA,NA,NA,NA,NA,25.00%,0.05%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Crocinitomix_sp144,NA,NA,NA,NA,NA,NA,33.33%,0.08%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33%,0.08%,NA,NA
Bacteria,Dojkabacteria_sp,28.57%,0.04%,29.79%,0.04%,31.11%,0.04%,NA,NA,33.33%,0.05%,27.27%,0.03%,NA,NA,NA,NA,36.36%,0.04%,36.36%,0.04%,33.33%,0.04%,50.00%,0.05%,NA,NA
Bacteria,Dongia_sp,51.02%,0.41%,55.32%,0.41%,51.11%,0.43%,41.67%,0.28%,50.00%,0.26%,54.55%,0.40%,50.00%,0.30%,45.45%,0.36%,63.64%,0.59%,54.55%,0.33%,41.67%,0.28%,100.00%,0.80%,NA,NA
Bacteria,Ensifer_sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.45%,5.86%,NA,NA,NA,NA,NA,NA,36.36%,4.86%,33.33%,0.22%,NA,NA,NA,NA
Bacteria,Entotheonellaceae_sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.07%,27.27%,0.06%,NA,NA,33.33%,0.12%,NA,NA
Bacteria,Ereboglobus_sp623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.06%,NA,NA,NA,NA,33.33%,0.07%,NA,NA
Bacteria,Flavisolibacter_sp,26.53%,0.15%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.00%,0.18%,NA,NA,NA,NA,36.36%,0.14%,NA,NA,33.33%,0.16%,"42%, 42%, 35%, 27%","0.11%, 0.07%, 0.09%, 0.03%"
Bacteria,Flavobacterium_commune,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33%,0.29%,"40%, 35%","0.89%, 1.48%"
Bacteria,Flavobacterium_sp,28.57%,0.26%,29.79%,0.13%,NA,NA,50.00%,0.35%,33.33%,0.15%,27.27%,0.29%,30.00%,0.09%,NA,NA,NA,NA,45.45%,0.25%,NA,NA,66.67%,0.48%,"40%, 35%","0.89%, 1.48%"
Bacteria,Fluviicola_sp,28.57%,0.47%,NA,NA,NA,NA,50.00%,1.68%,33.33%,0.17%,NA,NA,NA,NA,NA,NA,36.36%,0.13%,27.27%,0.11%,NA,NA,NA,NA,NA,NA
Bacteria,Fluviicola_sp146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.06%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Gaiella_sp,53.06%,1.01%,51.06%,0.99%,51.11%,1.01%,50.00%,0.88%,41.67%,0.96%,54.55%,0.63%,60.00%,1.22%,54.55%,1.12%,54.55%,0.89%,45.45%,0.77%,50.00%,0.96%,66.67%,1.23%,NA,NA
Bacteria,Gaiella_sp85,NA,NA,NA,NA,NA,NA,NA,NA,25.00%,0.12%,27.27%,0.14%,NA,NA,NA,NA,27.27%,0.09%,NA,NA,NA,NA,33.33%,0.17%,NA,NA
Bacteria,Gaiella_sp86,42.86%,0.23%,46.81%,0.33%,40.00%,0.21%,33.33%,0.23%,41.67%,0.18%,45.45%,0.27%,60.00%,0.41%,45.45%,0.30%,27.27%,0.16%,36.36%,0.14%,50.00%,0.20%,83.33%,0.76%,NA,NA
Bacteria,Gemmata_sp,NA,NA,NA,NA,NA,NA,NA,NA,33.33%,0.05%,NA,NA,NA,NA,NA,NA,27.27%,0.06%,NA,NA,NA,NA,33.33%,0.06%,NA,NA
Bacteria,Gemmata_sp457,NA,NA,25.53%,0.08%,31.11%,0.10%,NA,NA,NA,NA,NA,NA,NA,NA,36.36%,0.14%,45.45%,0.10%,NA,NA,33.33%,0.10%,50.00%,0.12%,NA,NA
Bacteria,Gemmata_sp458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.07%,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Gemmata_sp459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33%,0.12%,NA,NA
Bacteria,Gemmatimonas_sp,55.10%,0.40%,46.81%,0.27%,48.89%,0.36%,41.67%,0.25%,50.00%,0.27%,54.55%,0.40%,60.00%,0.31%,45.45%,0.18%,54.55%,0.26%,54.55%,0.44%,41.67%,0.44%,66.67%,0.31%,NA,NA
Bacteria,Gemmatimonas_sp283,51.02%,0.58%,48.94%,0.54%,51.11%,0.56%,50.00%,0.71%,41.67%,0.31%,45.45%,0.44%,60.00%,0.84%,54.55%,0.54%,54.55%,0.42%,54.55%,0.69%,41.67%,0.45%,50.00%,0.38%,NA,NA
Bacteria,Geodermatophilus_sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33%,0.11%,NA,NA,NA,NA
Bacteria,Haliangium_sp,32.65%,0.35%,40.43%,0.45%,42.22%,0.43%,NA,NA,25.00%,0.16%,27.27%,0.34%,50.00%,0.42%,27.27%,0.12%,45.45%,0.59%,54.55%,0.49%,41.67%,0.30%,66.67%,1.04%,NA,NA
Bacteria,Haliangium_sp337,32.65%,0.48%,31.91%,0.19%,37.78%,0.25%,33.33%,0.08%,NA,NA,27.27%,0.90%,30.00%,0.20%,45.45%,0.28%,27.27%,0.10%,45.45%,0.36%,33.33%,0.19%,50.00%,0.44%,NA,NA
Bacteria,Iamia_sp,NA,NA,38.30%,0.25%,31.11%,0.19%,33.33%,0.23%,NA,NA,NA,NA,40.00%,0.20%,27.27%,0.23%,27.27%,0.13%,27.27%,0.13%,41.67%,0.20%,50.00%,0.20%,NA,NA
Bacteria,Kapabacteriales_sp174,NA,NA,27.66%,0.15%,26.67%,0.13%,NA,NA,NA,NA,36.36%,0.09%,NA,NA,NA,NA,36.36%,0.05%,27.27%,0.33%,25.00%,0.05%,66.67%,0.18%,NA,NA
Bacteria,Kapabacteriales_sp176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.04%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Lacibacter_sp106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.00%,0.12%,"40%, 40%","0.19%, 0.10%"
Bacteria,Lacunisphaera_sp,NA,NA,29.79%,0.07%,NA,NA,25.00%,0.08%,33.33%,0.06%,27.27%,0.07%,30.00%,0.07%,NA,NA,27.27%,0.09%,NA,NA,33.33%,0.08%,50.00%,0.12%,32.00%,0.05%
Bacteria,Latescibacterota_sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33%,0.12%,NA,NA
Bacteria,Latescibacterota_sp310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33%,0.36%,NA,NA
Bacteria,Latescibacterota_sp311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.00%,0.07%,NA,NA
Bacteria,Legionella_sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.00%,0.01%,NA,NA,NA,NA
Bacteria,Longimicrobiaceae_sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.08%,NA,NA,NA,NA,NA,NA
Bacteria,Luedemannella_sp71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.00%,0.21%,NA,NA,NA,NA
Bacteria,Lysobacter_sp,53.06%,1.19%,34.04%,0.24%,40.00%,0.24%,41.67%,0.27%,33.33%,0.16%,72.73%,3.30%,40.00%,0.19%,45.45%,0.25%,36.36%,0.23%,45.45%,0.21%,33.33%,0.22%,50.00%,0.32%,NA,NA
Bacteria,Lysobacter_sp604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.16%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Lysobacter_terricola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.36%,0.20%,NA,NA,NA,NA,NA,NA
Bacteria,Massilia_sp,NA,NA,NA,NA,NA,NA,25.00%,0.05%,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.07%,27.27%,0.09%,NA,NA,NA,NA,"48%, 47%, 40%, 40%, 33%","0.31%, 0.25%, 0.15%, 0.09%, 0.11%"
Bacteria,Microvirga_sp,NA,NA,NA,NA,NA,NA,25.00%,0.23%,NA,NA,27.27%,0.20%,40.00%,0.38%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Mycobacterium_sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.00%,1.13%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Nannocystis_sp,NA,NA,NA,NA,NA,NA,25.00%,0.03%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Nannocystis_sp344,NA,NA,44.68%,0.27%,26.67%,0.16%,41.67%,0.22%,33.33%,0.14%,36.36%,0.18%,30.00%,0.12%,27.27%,0.14%,27.27%,0.16%,27.27%,0.17%,25.00%,0.13%,83.33%,0.38%,NA,NA
Bacteria,Niastella_sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.60%,27.27%,0.13%,NA,NA,NA,NA,32.00%,0.09%
Bacteria,Nitrospira_sp,38.78%,0.33%,38.30%,0.42%,37.78%,0.33%,NA,NA,50.00%,0.62%,36.36%,0.27%,30.00%,0.27%,36.36%,0.44%,45.45%,0.24%,45.45%,0.30%,25.00%,0.24%,83.33%,0.79%,67.00%,0.14%
Bacteria,Nitrospira_sp373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.14%,NA,NA,NA,NA,27.27%,0.15%,NA,NA,NA,NA,50.00%,0.37%,67.00%,0.14%
Bacteria,Nocardioides_sp,57.14%,1.40%,57.45%,1.65%,55.56%,1.46%,50.00%,1.82%,50.00%,1.75%,54.55%,0.86%,60.00%,1.78%,54.55%,1.23%,63.64%,1.60%,54.55%,1.16%,50.00%,1.35%,100.00%,1.25%,NA,NA
Bacteria,Nocardioides_sp75,44.90%,0.46%,NA,NA,33.33%,0.35%,NA,NA,41.67%,0.48%,27.27%,0.25%,40.00%,0.38%,27.27%,0.31%,36.36%,0.34%,45.45%,0.37%,25.00%,0.28%,66.67%,0.48%,NA,NA
Bacteria,Nonomuraea_sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,2.10%,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Ohtaekwangia_sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,3.46%,NA,NA,NA,NA,NA,NA,NA,NA,"28%, 28%","0.06%, 0.04%"
Bacteria,Paenibacillus_sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.74%,36.36%,3.97%,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Pajaroellobacter_sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.09%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Parcubacteria_sp394,NA,NA,25.53%,0.54%,28.89%,0.52%,33.33%,0.06%,NA,NA,NA,NA,NA,NA,36.36%,0.06%,NA,NA,36.36%,1.66%,25.00%,0.04%,66.67%,0.12%,NA,NA
Bacteria,Pedosphaeraceae_sp636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33%,0.14%,NA,NA
Bacteria,Permianibacter_sp578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.36%,0.04%,NA,NA,33.33%,0.09%,NA,NA
Bacteria,Phaselicystis_sp354,36.73%,0.12%,36.17%,0.11%,40.00%,0.13%,25.00%,0.08%,25.00%,0.07%,36.36%,0.12%,40.00%,0.12%,45.45%,0.13%,27.27%,0.06%,36.36%,0.12%,50.00%,0.16%,50.00%,0.12%,NA,NA
Bacteria,Phenylobacterium_sp,26.53%,0.16%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.11%,NA,NA,27.27%,0.11%,25.00%,0.09%,NA,NA,57.00%,0.10%
Bacteria,Phycisphaera_sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.02%,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Pirellula_sp,51.02%,0.20%,42.55%,0.20%,46.67%,0.24%,33.33%,0.10%,41.67%,0.10%,54.55%,0.17%,60.00%,0.19%,36.36%,0.13%,45.45%,0.16%,54.55%,0.36%,50.00%,0.22%,50.00%,0.21%,NA,NA
Bacteria,Pirellula_sp476,48.98%,0.11%,42.55%,0.11%,46.67%,0.12%,50.00%,0.12%,33.33%,0.04%,45.45%,0.11%,40.00%,0.08%,54.55%,0.14%,54.55%,0.13%,45.45%,0.10%,33.33%,0.07%,66.67%,0.18%,NA,NA
Bacteria,Pirellula_sp477,NA,NA,36.17%,0.21%,NA,NA,NA,NA,25.00%,0.10%,27.27%,0.10%,NA,NA,27.27%,0.18%,36.36%,0.17%,NA,NA,NA,NA,66.67%,0.33%,NA,NA
Bacteria,Pirellula_sp479,NA,NA,NA,NA,NA,NA,25.00%,0.03%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Polycyclovorans_sp,NA,NA,NA,NA,NA,NA,25.00%,0.12%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.00%,0.05%,NA,NA,NA,NA
Bacteria,Polycyclovorans_sp582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.08%,NA,NA,36.36%,0.13%,27.27%,0.04%,27.27%,0.06%,NA,NA,33.33%,0.13%,NA,NA
Bacteria,Polycyclovorans_sp583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.11%,NA,NA,50.00%,0.31%,NA,NA
Bacteria,Pontibacter_populi,NA,NA,NA,NA,NA,NA,25.00%,0.10%,NA,NA,36.36%,0.21%,30.00%,0.10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Pontibacter_sp,30.61%,0.13%,NA,NA,26.67%,0.09%,NA,NA,33.33%,0.12%,NA,NA,30.00%,0.14%,NA,NA,27.27%,0.07%,NA,NA,41.67%,0.13%,33.33%,0.06%,NA,NA
Bacteria,Pontibacter_sp132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.09%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Pseudomonas_sp,53.06%,1.46%,65.96%,7.47%,60.00%,4.30%,58.33%,2.31%,50.00%,3.19%,72.73%,3.33%,40.00%,3.45%,63.64%,5.49%,63.64%,8.05%,72.73%,1.16%,41.67%,0.20%,83.33%,0.68%,"28%, 27%","0.26%, 0.32%"
Bacteria,Pseudonocardia_sp,NA,NA,NA,NA,NA,NA,NA,NA,25.00%,0.07%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Puia_sp,34.69%,0.29%,NA,NA,26.67%,0.18%,NA,NA,25.00%,0.16%,36.36%,0.17%,30.00%,0.35%,NA,NA,45.45%,0.29%,NA,NA,33.33%,0.21%,NA,NA,NA,NA
Bacteria,Reyranella_soli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.09%,27.27%,0.09%,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Rhizobacter_sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.13%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Rhodopirellula_sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,1.04%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Rhodothermaceae_sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.04%,NA,NA,NA,NA,NA,NA,NA,NA,25.00%,0.05%,NA,NA,NA,NA
Bacteria,Rokubacteriales_sp,NA,NA,NA,NA,NA,NA,25.00%,0.17%,25.00%,0.02%,NA,NA,30.00%,0.15%,NA,NA,NA,NA,27.27%,0.14%,33.33%,0.02%,50.00%,0.01%,NA,NA
Bacteria,Rokubacteriales_sp314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.00%,0.11%,NA,NA
Bacteria,Rubrobacter_sp,NA,NA,NA,NA,28.89%,0.18%,NA,NA,25.00%,0.17%,NA,NA,NA,NA,27.27%,0.22%,36.36%,0.20%,NA,NA,33.33%,0.12%,NA,NA,30.00%,0.03%
Bacteria,Rubrobacter_sp82,51.02%,0.88%,53.19%,0.73%,46.67%,0.71%,50.00%,0.95%,41.67%,0.60%,54.55%,0.75%,60.00%,0.79%,54.55%,0.83%,54.55%,0.75%,54.55%,0.72%,25.00%,0.36%,100.00%,1.45%,30.00%,0.03%
Bacteria,Rubrobacter_sp84,26.53%,0.22%,40.43%,0.45%,33.33%,0.32%,33.33%,0.33%,NA,NA,54.55%,0.45%,50.00%,0.61%,27.27%,0.26%,36.36%,0.22%,36.36%,0.30%,33.33%,0.39%,NA,NA,30.00%,0.03%
Bacteria,Skermanella_sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.00%,0.32%,NA,NA,NA,NA,NA,NA,25.00%,0.23%,NA,NA,NA,NA
Bacteria,Solirubrobacter_sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.00%,0.67%,NA,NA,NA,NA,NA,NA,NA,NA,50.00%,0.82%,NA,NA
